recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775567280.347663164,1775567280.346308470,32,1.893000095,-0.657999809,5.000000000
1775567280.450913668,1775567280.449593544,32,1.893000095,-0.657999809,5.000000000
1775567280.546999454,1775567280.545606136,32,1.893000095,-0.657999809,5.000000000
1775567280.654221058,1775567280.648608923,29,2.092999905,-0.708000000,5.000000000
1775567280.758589745,1775567280.756983042,29,2.092999905,-0.708000000,5.000000000
1775567280.857409716,1775567280.856639862,29,2.092999905,-0.708000000,5.000000000
1775567280.962927818,1775567280.961652040,28,2.092999905,-0.708000000,5.000000000
1775567281.069126606,1775567281.068423510,28,2.092999905,-0.708000000,5.000000000
1775567281.158897161,1775567281.157950401,23,2.092999905,-0.708000000,5.000000000
1775567281.267712831,1775567281.267013788,23,2.092999905,-0.708000000,5.000000000
1775567281.367497683,1775567281.366531372,23,2.092999905,-0.708000000,5.000000000
1775567281.485670328,1775567281.484058380,22,2.092999905,-0.708000000,5.000000000
1775567281.579969406,1775567281.578869820,22,2.092999905,-0.708000000,5.000000000
1775567281.680146456,1775567281.679063320,21,2.343000381,-0.708000000,5.000000000
1775567281.781063318,1775567281.780109882,21,2.343000381,-0.708000000,5.000000000
1775567281.886583328,1775567281.885611773,20,2.343000381,-0.708000000,5.000000000
1775567281.987202168,1775567281.986259222,20,2.343000381,-0.708000000,5.000000000
1775567282.086753607,1775567282.086136818,19,2.343000381,-0.708000000,5.000000000
1775567282.186938524,1775567282.186240435,15,2.343000381,-0.708000000,5.000000000
1775567282.293655634,1775567282.292964220,15,2.343000381,-0.708000000,5.000000000
1775567282.392037630,1775567282.391055584,14,2.343000381,-0.708000000,5.000000000
1775567282.499254465,1775567282.498266459,13,2.343000381,-0.708000000,5.000000000
1775567282.606360197,1775567282.605543137,13,2.343000381,-0.708000000,5.000000000
1775567282.709022045,1775567282.708259583,11,2.543000191,-0.708000000,5.000000000
1775567282.809813499,1775567282.809098721,11,2.543000191,-0.708000000,5.000000000
1775567282.916988850,1775567282.915756226,10,2.543000191,-0.708000000,5.000000000
1775567283.028792381,1775567283.026505947,9,2.543000191,-0.708000000,5.000000000
1775567283.126928329,1775567283.126308441,8,2.543000191,-0.708000000,5.000000000
1775567283.228523970,1775567283.228035212,7,2.543000191,-0.708000000,5.000000000
1775567283.338613510,1775567283.334618807,6,2.543000191,-0.708000000,5.000000000
1775567283.441441298,1775567283.440969229,6,2.543000191,-0.708000000,5.000000000
1775567283.549975395,1775567283.549412966,5,2.543000191,-0.708000000,5.000000000
1775567283.661567688,1775567283.660475731,4,2.543000191,-0.708000000,5.000000000
1775567283.756804943,1775567283.756207943,5,2.743000000,-0.708000000,5.000000000
1775567283.857548952,1775567283.856745481,4,2.743000000,-0.708000000,5.000000000
1775567283.957781553,1775567283.957191467,4,2.743000000,-0.708000000,5.000000000
1775567284.066860437,1775567284.061834335,49,1.000000000,4.000000000,5.000000000
1775567284.172506332,1775567284.170713186,49,1.000000000,4.000000000,5.000000000
1775567284.267449856,1775567284.265920639,48,1.000000000,4.000000000,5.000000000
1775567284.369681597,1775567284.368459702,48,1.000000000,4.000000000,5.000000000
1775567284.468090534,1775567284.466665506,48,1.000000000,4.000000000,5.000000000
1775567284.569531679,1775567284.567668200,48,1.000000000,4.000000000,5.000000000
1775567284.678186893,1775567284.674669504,48,1.000000000,4.000000000,5.000000000
1775567284.780590773,1775567284.778533220,47,1.000000000,4.000000000,5.000000000
1775567284.884432077,1775567284.881951094,47,1.000000000,4.000000000,5.000000000
1775567284.983644247,1775567284.982023478,47,1.000000000,4.000000000,5.000000000
1775567285.082742929,1775567285.081146717,47,1.000000000,4.000000000,5.000000000
1775567285.187575102,1775567285.185411215,47,1.000000000,4.000000000,5.000000000
1775567285.284833670,1775567285.283932686,48,1.000000000,4.000000000,5.000000000
1775567285.385260820,1775567285.383623362,48,1.000000000,4.000000000,5.000000000
1775567285.487218380,1775567285.485405684,48,1.000000000,4.000000000,5.000000000
1775567285.585619211,1775567285.584650517,48,1.000000000,4.000000000,5.000000000
1775567285.687048912,1775567285.685513735,48,1.000000000,4.000000000,5.000000000
1775567285.792097330,1775567285.790447474,46,1.000000000,4.000000000,5.000000000
1775567285.891670942,1775567285.890226603,46,1.000000000,4.000000000,5.000000000
1775567285.990743876,1775567285.989431143,46,1.000000000,4.000000000,5.000000000
1775567286.090551138,1775567286.088801384,46,1.000000000,4.000000000,5.000000000
1775567286.194782972,1775567286.193076372,46,1.000000000,4.000000000,5.000000000
1775567286.292003155,1775567286.288928270,43,1.000000000,4.000000000,5.000000000
1775567286.390779495,1775567286.388654947,43,1.000000000,4.000000000,5.000000000
1775567286.491031408,1775567286.489173174,43,1.000000000,4.000000000,5.000000000
1775567286.590058565,1775567286.588484049,42,1.000000000,4.000000000,5.000000000
1775567286.689507484,1775567286.688273191,42,1.000000000,4.000000000,5.000000000
1775567286.789189577,1775567286.788133860,40,1.000000000,4.000000000,5.000000000
1775567286.889311790,1775567286.887942553,40,1.000000000,4.000000000,5.000000000
1775567286.995043278,1775567286.994132757,39,1.000000000,4.000000000,5.000000000
1775567287.114495039,1775567287.111706495,39,1.000000000,4.000000000,5.000000000
1775567287.212811470,1775567287.211688757,39,1.000000000,4.000000000,5.000000000
1775567287.315593243,1775567287.313503027,36,1.000000000,4.000000000,5.000000000
1775567287.417674541,1775567287.413272381,36,1.000000000,4.000000000,5.000000000
1775567287.514971972,1775567287.514186382,35,1.000000000,4.000000000,5.000000000
1775567287.615854740,1775567287.614312887,35,1.000000000,4.000000000,5.000000000
1775567287.718645573,1775567287.717339754,34,1.000000000,4.000000000,5.000000000
1775567287.823798418,1775567287.822066307,30,1.000000000,4.000000000,5.000000000
1775567287.918170929,1775567287.916635990,30,1.000000000,4.000000000,5.000000000
1775567288.030450583,1775567288.023787498,29,1.000000000,4.000000000,5.000000000
1775567288.121387005,1775567288.120172501,29,1.000000000,4.000000000,5.000000000
1775567288.219918728,1775567288.219203234,28,1.000000000,4.000000000,5.000000000
1775567288.324098110,1775567288.323082924,27,1.000000000,4.000000000,5.000000000
1775567288.428618670,1775567288.427745581,26,1.000000000,4.000000000,5.000000000
1775567288.527918339,1775567288.527040005,26,1.000000000,4.000000000,5.000000000
1775567288.628166676,1775567288.627469778,25,1.000000000,4.000000000,5.000000000
1775567288.727437973,1775567288.726366282,24,1.000000000,4.000000000,5.000000000
1775567288.828241110,1775567288.827154875,20,1.000000000,4.000000000,5.000000000
1775567288.927364826,1775567288.926407814,20,1.000000000,4.000000000,5.000000000
1775567289.033871651,1775567289.032727480,19,1.000000000,4.000000000,5.000000000
1775567289.127981663,1775567289.127047777,18,1.000000000,4.000000000,5.000000000
1775567289.228793144,1775567289.228087664,17,1.000000000,4.000000000,5.000000000
1775567289.332238197,1775567289.331719637,13,1.000000000,4.000000000,5.000000000
1775567289.434916019,1775567289.433833599,12,1.000000000,4.000000000,5.000000000
1775567289.532530308,1775567289.532045364,11,1.000000000,4.000000000,5.000000000
1775567289.636668205,1775567289.636104822,10,1.000000000,4.000000000,5.000000000
1775567289.742863417,1775567289.742117405,9,1.000000000,4.000000000,5.000000000
1775567289.846445084,1775567289.845731258,10,1.000000000,4.000000000,5.000000000
1775567289.947574377,1775567289.946903229,9,1.000000000,4.000000000,5.000000000
1775567290.050730705,1775567290.050244570,8,1.000000000,4.000000000,5.000000000
1775567290.149702311,1775567290.148973465,7,1.000000000,4.000000000,5.000000000
1775567290.251653671,1775567290.251106977,6,1.000000000,4.000000000,5.000000000
1775567290.356079578,1775567290.355519056,4,1.000000000,4.000000000,5.000000000
1775567290.455619335,1775567290.453318834,65,-2.000000000,-2.000000000,5.000000000
1775567290.568227291,1775567290.565997124,66,-2.000000000,-2.000000000,5.000000000
1775567290.674490452,1775567290.672509909,66,-2.000000000,-2.000000000,5.000000000
1775567290.773338079,1775567290.772148371,67,-2.000000000,-2.000000000,5.000000000
1775567290.884642124,1775567290.882038116,68,-2.000000000,-2.000000000,5.000000000
1775567290.975772381,1775567290.973334312,68,-2.000000000,-2.000000000,5.000000000
1775567291.078767538,1775567291.077035427,69,-2.000000000,-2.000000000,5.000000000
1775567291.182847738,1775567291.180968285,69,-2.000000000,-2.000000000,5.000000000
1775567291.288020372,1775567291.285411119,70,-2.000000000,-2.000000000,5.000000000
1775567291.389866829,1775567291.387973785,68,-2.000000000,-2.000000000,5.000000000
1775567291.489221811,1775567291.487354040,69,-2.000000000,-2.000000000,5.000000000
1775567291.596786976,1775567291.594756842,69,-2.000000000,-2.000000000,5.000000000
1775567291.695268393,1775567291.693371296,70,-2.000000000,-2.000000000,5.000000000
1775567291.794095039,1775567291.792444229,70,-2.000000000,-2.000000000,5.000000000
1775567291.898605108,1775567291.897165298,67,-2.000000000,-2.000000000,5.000000000
1775567291.999674320,1775567291.998517990,67,-2.000000000,-2.000000000,5.000000000
1775567292.099859238,1775567292.097476959,67,-2.000000000,-2.000000000,5.000000000
1775567292.212322950,1775567292.202646971,68,-2.000000000,-2.000000000,5.000000000
1775567292.296633005,1775567292.295332193,68,-2.000000000,-2.000000000,5.000000000
1775567292.404573202,1775567292.402123213,63,-2.000000000,-2.000000000,5.000000000
1775567292.502847672,1775567292.500652790,63,-2.000000000,-2.000000000,5.000000000
1775567292.607831001,1775567292.606363297,63,-2.000000000,-2.000000000,5.000000000
1775567292.709662437,1775567292.708461046,63,-2.000000000,-2.000000000,5.000000000
1775567292.809448004,1775567292.807077885,63,-2.000000000,-2.000000000,5.000000000
1775567292.910488129,1775567292.908634186,58,-2.000000000,-2.000000000,5.000000000
1775567293.012893915,1775567293.010725260,58,-2.000000000,-2.000000000,5.000000000
1775567293.111013174,1775567293.109269142,58,-2.000000000,-2.000000000,5.000000000
1775567293.227238178,1775567293.223058701,58,-2.000000000,-2.000000000,5.000000000
1775567293.318428755,1775567293.316652775,58,-2.000000000,-2.000000000,5.000000000
1775567293.417711496,1775567293.416092396,54,-2.000000000,-2.000000000,5.000000000
1775567293.519218445,1775567293.517626047,54,-2.000000000,-2.000000000,5.000000000
1775567293.619143486,1775567293.617781162,53,-2.000000000,-2.000000000,5.000000000
1775567293.720040083,1775567293.718699932,53,-2.000000000,-2.000000000,5.000000000
1775567293.819004059,1775567293.817569256,53,-2.000000000,-2.000000000,5.000000000
1775567293.918848276,1775567293.917579412,48,-2.000000000,-2.000000000,5.000000000
1775567294.018139362,1775567294.017230034,48,-2.000000000,-2.000000000,5.000000000
1775567294.119667292,1775567294.118419170,47,-2.000000000,-2.000000000,5.000000000
1775567294.222088814,1775567294.221123695,47,-2.000000000,-2.000000000,5.000000000
1775567294.325808764,1775567294.324002266,46,-2.000000000,-2.000000000,5.000000000
1775567294.431645870,1775567294.430608988,44,-2.000000000,-2.000000000,5.000000000
1775567294.532899857,1775567294.531435728,44,-2.000000000,-2.000000000,5.000000000
1775567294.642461538,1775567294.641219378,43,-2.000000000,-2.000000000,5.000000000
1775567294.741005182,1775567294.740104914,43,-2.000000000,-2.000000000,5.000000000
1775567294.857127905,1775567294.855981350,42,-2.000000000,-2.000000000,5.000000000
1775567294.957612991,1775567294.955567360,38,-2.000000000,-2.000000000,5.000000000
1775567295.058955193,1775567295.057490826,37,-2.000000000,-2.000000000,5.000000000
1775567295.156001091,1775567295.154958010,37,-2.000000000,-2.000000000,5.000000000
1775567295.262648582,1775567295.261189222,36,-2.000000000,-2.000000000,5.000000000
1775567295.358058929,1775567295.356713057,35,-2.000000000,-2.000000000,5.000000000
1775567295.458077669,1775567295.456601858,34,-2.000000000,-2.000000000,5.000000000
1775567295.568530560,1775567295.564329147,33,-2.000000000,-2.000000000,5.000000000
1775567295.665426016,1775567295.664232492,33,-2.000000000,-2.000000000,5.000000000
1775567295.767711639,1775567295.766385317,32,-2.000000000,-2.000000000,5.000000000
1775567295.872665644,1775567295.871770859,31,-2.000000000,-2.000000000,5.000000000
1775567295.974554777,1775567295.973832130,29,-2.000000000,-2.000000000,5.000000000
1775567296.073455811,1775567296.072763920,28,-2.000000000,-2.000000000,5.000000000
1775567296.175320148,1775567296.174169064,27,-2.000000000,-2.000000000,5.000000000
1775567296.282911539,1775567296.280954599,27,-2.000000000,-2.000000000,5.000000000
1775567296.393006563,1775567296.391768694,26,-2.000000000,-2.000000000,5.000000000
1775567296.492787123,1775567296.491627693,24,-2.000000000,-2.000000000,5.000000000
1775567296.602900267,1775567296.596935749,24,-2.000000000,-2.000000000,5.000000000
1775567296.693332195,1775567296.692274809,23,-2.000000000,-2.000000000,5.000000000
1775567296.797192335,1775567296.795668602,22,-2.000000000,-2.000000000,5.000000000
1775567296.896031141,1775567296.895224571,22,-2.000000000,-2.000000000,5.000000000
1775567296.999229193,1775567296.998548031,19,-2.000000000,-2.000000000,5.000000000
1775567297.109496117,1775567297.108746052,18,-2.000000000,-2.000000000,5.000000000
1775567297.212793827,1775567297.212108135,18,-2.000000000,-2.000000000,5.000000000
1775567297.318154097,1775567297.317450762,17,-2.000000000,-2.000000000,5.000000000
1775567297.418703556,1775567297.417959213,16,-2.000000000,-2.000000000,5.000000000
1775567297.521103382,1775567297.520369768,15,-2.000000000,-2.000000000,5.000000000
1775567297.625388145,1775567297.624466658,14,-2.000000000,-2.000000000,5.000000000
1775567297.724056959,1775567297.723202705,14,-2.000000000,-2.000000000,5.000000000
1775567297.822113752,1775567297.821372986,13,-2.000000000,-2.000000000,5.000000000
1775567297.930436134,1775567297.929658890,12,-2.000000000,-2.000000000,5.000000000
1775567298.034866333,1775567298.034217834,10,-2.000000000,-2.000000000,5.000000000
1775567298.131078959,1775567298.130346537,9,-2.000000000,-2.000000000,5.000000000
1775567298.231379271,1775567298.230642796,9,-2.000000000,-2.000000000,5.000000000
1775567298.332556725,1775567298.331875324,8,-2.000000000,-2.000000000,5.000000000
1775567298.435522556,1775567298.434907675,7,-2.000000000,-2.000000000,5.000000000
1775567298.535145760,1775567298.534537315,5,-2.000000000,-2.000000000,5.000000000
1775567298.635718107,1775567298.635203362,4,-2.000000000,-2.000000000,5.000000000
1775567298.745984793,1775567298.742888451,51,2.393000572,0.842000191,5.000000000
1775567298.840134859,1775567298.838332176,51,2.393000572,0.842000191,5.000000000
1775567298.953909159,1775567298.952119350,52,2.393000572,0.842000191,5.000000000
1775567299.051853418,1775567299.050380707,52,2.143000095,0.842000191,5.000000000
1775567299.151054621,1775567299.149657726,52,2.143000095,0.842000191,5.000000000
1775567299.254151821,1775567299.252633810,53,2.143000095,0.842000191,5.000000000
1775567299.358218670,1775567299.357048750,54,2.143000095,0.842000191,5.000000000
1775567299.465716600,1775567299.464719772,55,2.143000095,0.842000191,5.000000000
1775567299.564160109,1775567299.562608957,54,2.143000095,0.842000191,5.000000000
1775567299.663520813,1775567299.662264585,54,2.143000095,0.842000191,5.000000000
1775567299.765405893,1775567299.764365673,55,2.143000095,0.842000191,5.000000000
1775567299.870941877,1775567299.869087219,55,2.143000095,0.842000191,5.000000000
1775567299.991399050,1775567299.989867687,56,2.143000095,0.842000191,5.000000000
1775567300.081849813,1775567300.080079317,54,1.943000286,0.842000191,5.000000000
1775567300.181268454,1775567300.180323362,54,1.943000286,0.842000191,5.000000000
1775567300.282119513,1775567300.280555248,55,1.943000286,0.842000191,5.000000000
1775567300.390684128,1775567300.389116764,56,1.943000286,0.842000191,5.000000000
1775567300.494195461,1775567300.493206739,56,1.943000286,0.842000191,5.000000000
1775567300.593906403,1775567300.592335701,54,1.943000286,0.842000191,5.000000000
1775567300.698170424,1775567300.696253777,54,1.943000286,0.842000191,5.000000000
1775567300.792952538,1775567300.791715384,55,1.943000286,0.842000191,5.000000000
1775567300.900574684,1775567300.890910864,55,1.943000286,0.842000191,5.000000000
1775567300.996583939,1775567300.994550943,56,1.943000286,0.842000191,5.000000000
1775567301.099917650,1775567301.098428726,50,1.743000000,0.842000191,5.000000000
1775567301.199870825,1775567301.197616577,50,1.743000000,0.842000191,5.000000000
1775567301.306175709,1775567301.302642345,51,1.743000000,0.842000191,5.000000000
1775567301.400507212,1775567301.399515390,51,1.743000000,0.842000191,5.000000000
1775567301.503428221,1775567301.502354383,51,1.743000000,0.842000191,5.000000000
1775567301.602201939,1775567301.600874901,46,1.743000000,0.842000191,5.000000000
1775567301.703633547,1775567301.701863289,46,1.743000000,0.842000191,5.000000000
1775567301.804227114,1775567301.802125454,46,1.743000000,0.842000191,5.000000000
1775567301.904800892,1775567301.903401136,46,1.743000000,0.842000191,5.000000000
1775567302.004633665,1775567302.002994537,46,1.743000000,0.842000191,5.000000000
1775567302.106354237,1775567302.105386019,40,1.592999905,0.891999905,5.000000000
1775567302.213540316,1775567302.212318897,40,1.592999905,0.891999905,5.000000000
1775567302.309006214,1775567302.308087587,39,1.592999905,0.891999905,5.000000000
1775567302.407462358,1775567302.406688929,39,1.592999905,0.891999905,5.000000000
1775567302.508299112,1775567302.507102966,39,1.592999905,0.891999905,5.000000000
1775567302.607786417,1775567302.606400967,33,1.592999905,0.891999905,5.000000000
1775567302.709696531,1775567302.706499577,32,1.592999905,0.891999905,5.000000000
1775567302.808888197,1775567302.808073521,32,1.592999905,0.891999905,5.000000000
1775567302.921758652,1775567302.920407057,32,1.592999905,0.891999905,5.000000000
1775567303.023008108,1775567303.021750212,31,1.592999905,0.891999905,5.000000000
1775567303.120722532,1775567303.119972229,26,1.443000286,1.042000000,5.000000000
1775567303.222103357,1775567303.220542908,26,1.443000286,1.042000000,5.000000000
1775567303.326802015,1775567303.325622797,25,1.443000286,1.042000000,5.000000000
