recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775398509.587870836,1775398509.586519957,36,1.000000000,4.000000000,5.000000000
1775398509.687570810,1775398509.686758757,36,1.000000000,4.000000000,5.000000000
1775398509.786537647,1775398509.785750628,36,1.000000000,4.000000000,5.000000000
1775398509.888728142,1775398509.887609720,35,1.000000000,4.000000000,5.000000000
1775398509.990372896,1775398509.989429712,35,1.000000000,4.000000000,5.000000000
1775398510.089265585,1775398510.088357449,32,1.000000000,4.000000000,5.000000000
1775398510.189156532,1775398510.188026667,31,1.000000000,4.000000000,5.000000000
1775398510.289593220,1775398510.288508177,31,1.000000000,4.000000000,5.000000000
1775398510.389120102,1775398510.387856245,31,1.000000000,4.000000000,5.000000000
1775398510.490937948,1775398510.489888191,30,1.000000000,4.000000000,5.000000000
1775398510.590613127,1775398510.589423418,26,1.000000000,4.000000000,5.000000000
1775398510.691988707,1775398510.690645218,26,1.000000000,4.000000000,5.000000000
1775398510.790722370,1775398510.789691687,25,1.000000000,4.000000000,5.000000000
1775398510.890714645,1775398510.889711857,24,1.000000000,4.000000000,5.000000000
1775398510.990969896,1775398510.989949703,24,1.000000000,4.000000000,5.000000000
1775398511.091130018,1775398511.090147495,20,1.000000000,4.000000000,5.000000000
1775398511.190579414,1775398511.189890146,19,1.000000000,4.000000000,5.000000000
1775398511.290454865,1775398511.289676905,19,1.000000000,4.000000000,5.000000000
1775398511.393436432,1775398511.392875195,18,1.000000000,4.000000000,5.000000000
1775398511.494953394,1775398511.494170904,17,1.000000000,4.000000000,5.000000000
1775398511.593491077,1775398511.592631102,16,1.000000000,4.000000000,5.000000000
1775398511.695410013,1775398511.694643259,15,1.000000000,4.000000000,5.000000000
1775398511.796386957,1775398511.795853138,15,1.000000000,4.000000000,5.000000000
1775398511.898037910,1775398511.897192240,14,1.000000000,4.000000000,5.000000000
1775398512.000205278,1775398511.999636889,14,1.000000000,4.000000000,5.000000000
1775398512.099414110,1775398512.098685503,11,1.000000000,4.000000000,5.000000000
1775398512.200942278,1775398512.200187206,10,1.000000000,4.000000000,5.000000000
1775398512.299896955,1775398512.299238205,10,1.000000000,4.000000000,5.000000000
1775398512.402345181,1775398512.401578903,9,1.000000000,4.000000000,5.000000000
1775398512.503476620,1775398512.503047943,8,1.000000000,4.000000000,5.000000000
1775398512.603755474,1775398512.603273153,8,1.000000000,4.000000000,5.000000000
1775398512.702384710,1775398512.701720476,7,1.000000000,4.000000000,5.000000000
1775398512.800804377,1775398512.800387621,7,1.000000000,4.000000000,5.000000000
